username,name,url_main,url_user,exists,http_status
Mark,Rutracker,https://rutracker.org/,https://rutracker.org/forum/profile.php?mode=viewprofile&u=Mark,Unknown,403
Mark,lnk.bio,https://lnk.bio,https://lnk.bio/Mark,Unknown,403
Mark,Memrise,https://www.memrise.com/,https://www.memrise.com/user/Mark/,Available,301
Mark,Imgflip,https://imgflip.com,https://imgflip.com/user/Mark,Claimed,200
Mark,Gumroad,https://www.gumroad.com/,https://www.gumroad.com/Mark,Claimed,200
Mark,Teletype,https://teletype.in,https://teletype.in/@Mark,Claimed,200
Mark,BuyMeACoffee,https://www.buymeacoffee.com/,https://buymeacoff.ee/Mark,Claimed,200
Mark,ArchiveOfOurOwn,https://archiveofourown.org,https://archiveofourown.org/users/Mark,Unknown,525
Mark,Americanthinker,https://www.americanthinker.com/,https://www.americanthinker.com/author/Mark/,Available,404
Mark,HackerOne,https://hackerone.com/,https://hackerone.com/Mark,Claimed,200
Mark,Wowhead,https://www.wowhead.com,https://www.wowhead.com/user=Mark,Unknown,403
Mark,Drive2,https://www.drive2.ru/,https://www.drive2.ru/users/Mark,Unknown,403
Mark,Noblogs,https://noblogs.org/,https://noblogs.org/members/Mark/,Available,404
Mark,Bit.ly,https://bit.ly,https://bit.ly/Mark,Claimed,200
Mark,Nairaland Forum,https://www.nairaland.com/,https://www.nairaland.com/Mark,Unknown,403
Mark,RubyGems,https://rubygems.org/,https://rubygems.org/profiles/Mark,Claimed,200
Mark,Contently,https://contently.com/,https://Mark.contently.com/,Available,200
Mark,Geeksfor Geeks,https://www.geeksforgeeks.org/,https://auth.geeksforgeeks.org/user/Mark,Available,200
Mark,Designs99,https://99designs.com,https://99designs.com/profiles/Mark,Available,404
Mark,Audiojungle,https://audiojungle.net/,https://audiojungle.net/user/Mark,Claimed,200
Mark,Giantbomb,https://www.giantbomb.com,https://www.giantbomb.com/profile/Mark,Available,404
Mark,sports.ru,https://www.sports.ru/,https://www.sports.ru/profile/Mark/,Available,404
Mark,Velog,https://velog.io/,https://velog.io/@Mark/posts,Available,404
Mark,Picsart,https://picsart.com/,https://picsart.com/u/Mark,Claimed,200
Mark,TheOdysseyOnline,https://www.theodysseyonline.com,https://www.theodysseyonline.com/user/@Mark,Available,404
Mark,NICommunityForum,https://www.native-instruments.com/forum/,https://www.native-instruments.com/forum/members/?username=Mark,Available,403
Mark,WebNode,https://www.webnode.cz/,https://Mark.webnode.cz/,Available,404
